NO(Main),NO(Sub),요구사항명,상세 요구사항 정의,유형,구분,도출단계,상태,출처,제약사항,수용여부
1,1,회원가입,"사용자는 아이디, 이메일, 비밀번호를 입력해 계정을 만들 수 있어야 한다.",기능,accounts,MVP,정의,현재코드,"회원가입 성공 시 Django User 생성 후 자동 로그인한다.",수용
1,2,로그인,"사용자는 아이디와 비밀번호로 로그인할 수 있어야 한다.",기능,accounts,MVP,정의,현재코드,"Django auth를 사용하고 next 이동은 안전한 내부 URL만 허용한다.",수용
1,3,로그아웃,"로그인한 사용자는 현재 세션에서 로그아웃할 수 있어야 한다.",기능,accounts,MVP,정의,현재코드,"로그아웃 후 홈 화면으로 이동하며 archive 관련 사용자 세션도 정리한다.",수용
1,4,회원 탈퇴,"로그인한 사용자는 자신의 계정을 삭제할 수 있어야 한다.",기능,accounts,MVP,정의,현재코드,"POST 요청에서만 처리하고 탈퇴 전 로그아웃을 수행한다.",수용
1,5,인증 필요 기능 접근 제어,"비로그인 사용자가 인증이 필요한 기능을 호출하면 로그인 화면 이동 또는 401 JSON 응답을 받아야 한다.",기능,accounts,MVP,정의,현재코드,"마이페이지, 게시글 작성/수정/삭제, 좋아요, 북마크에 적용한다.",수용
1,6,마이페이지 조회,"로그인한 사용자는 프로필, 작성 글, 보관한 기록, 생성 관련 기록을 한 화면에서 확인할 수 있어야 한다.",기능,accounts,MVP,정의,현재코드,"accounts 서비스에서 사용자별 목록을 모아 mypage.html에 전달한다.",수용
1,7,기록 보관,"로그인한 사용자는 기록 열람실에서 선택한 외부 기록을 나의 보관함에 저장할 수 있어야 한다.",기능,accounts,MVP,정의,현재코드,"/accounts/api/bookmark/add/ POST JSON을 사용하며 같은 사용자의 중복 저장을 방지한다.",수용
1,8,작성 글 관리 연결,"마이페이지에서 본인이 작성한 열린 게시판 글을 상세 확인하고 수정 또는 삭제할 수 있어야 한다.",기능,accounts,MVP,정의,현재코드,"post API를 사용하며 작성자 권한이 있어야 한다.",수용
2,1,서비스 첫 화면,"사용자는 루트 URL 또는 /archive/에서 서비스 첫 화면에 접근할 수 있어야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"config.urls의 루트는 archive.index로 연결한다.",수용
2,2,기록 열람실 화면,"사용자는 /archive/chatbot/에서 대화형 기록 열람 화면에 접근할 수 있어야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"화면 진입 시 서버의 archive 대화, 맥락, TTS 상태를 초기화한다.",수용
2,3,첫 검색어 전달,"첫 화면에서 입력한 문장은 /archive/chatbot/?q=...로 전달되어 챗봇 첫 메시지처럼 처리되어야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"chatbot.html이 querystring q를 읽어 answer()를 자동 실행한다.",수용
2,4,입력 의도 분류,"시스템은 사용자 입력을 검색, 추천, 일반 대화, 낭독 요청, 낭독 중지 요청으로 분류해야 한다.",기능,archive-chatbot,MVP,정의,현재코드,"LLM 분류가 실패하면 규칙 기반 분류로 폴백한다.",수용
